id,code,country,height,lat,lon,name,type
1828,DEBW051,Germany,160,49.145798,9.221363,Heilbronn-Mitte,background
1829,DETH035,Germany,270,51.376137,10.139405,Heiligenstadt,background
1830,DEUB034,Germany,50,54.186714,7.876328,Helgoland,background
1831,DEBW195,Germany,350,48.864687,9.031384,Hemmingen Hauptstraße,traffic
1832,DEBB011,Germany,32,52.636421,13.203808,Hennigsdorf,background
1833,DEHE063,Germany,110,49.643242,8.642,Heppenheim-Lehrstraße,traffic
1834,DENW014,Germany,175,51.417095,7.415356,Herdecke,background
1835,DEUB018,Germany,380,51.037056,10.152005,Herleshausen,background
1836,DENW203,Germany,40,51.543144,7.150186,Herne Recklinghauser Straße,traffic
1837,DENW243,Germany,38,51.542828,7.1502,Herne Recklinghauser Straße 4,traffic
1838,DENW023,Germany,70,51.527607,7.223933,Herne-Süd,background
1839,DEBW095,Germany,425,48.587883,8.8753,Herrenberg,background
1840,DEBW135,Germany,444,48.594765,8.869072,Herrenberg Hindenburger Straße (S),traffic
1841,DENW273,Germany,67,51.596512,7.143597,Herten Kaiserstraße,traffic
1842,DENW018,Germany,102,51.600384,7.125475,Herten-Langenbochum,background
1843,DEBB012,Germany,80,51.692936,13.228908,Herzberg,traffic
1844,DENI007,Germany,248,51.655518,10.343561,Herzberg _,industrial
1845,DEBB081,Germany,54,52.497551,13.849006,Herzfelde (Rüdersdorf),industrial
1846,DENI156,Germany,4,53.47265,9.19668,Hesedorf,background
1847,DEHE064,Germany,386,51.198946,9.730328,Hessisch Lichtenau,traffic
1848,DETH063,Germany,277,50.914421,11.300742,Hetschburg bei Bad Berka,industrial
1849,DEST052,Germany,160,51.642166,11.511397,Hettstedt,background
1850,DEST018,Germany,175,51.649342,11.507275,Hettstedt (SO2-Messstelle),background
1851,DEST097,Germany,160,51.625942,11.511948,Hettstedt Industrie,industrial
1852,DETH051,Germany,380,50.429142,10.726472,Hildburghausen Dr.-W.-Külz-Str.,background
1853,DETH023,Germany,380,50.42976,10.729058,Hildburghausen Schleusinger Str.,background
1854,DENW049,Germany,58,51.166512,6.950152,Hilden,background
1855,DENI061,Germany,100,52.158024,9.958838,Hildesheim Kaiserstr.,traffic
1856,DENI066,Germany,60,52.150775,9.950222,Hildesheim Verkehr,traffic
1857,DENI049,Germany,100,52.158024,9.958838,Hildesheim_alt,traffic
1858,DEBY163,Germany,430,49.902253,9.446467,Hochspessart Bestandsfläche,background
1859,DEBY162,Germany,410,49.904225,9.447878,Hochspessart Freilandfläche,background
1860,DEUB015,Germany,560,50.316345,11.876381,Hof,background
1861,DEBY020,Germany,525,50.32061,11.897491,Hof/LfU,background
1862,DESN023,Germany,375,50.802757,12.707375,Hohenstein-Ernstthal,background
1863,DEUB006,Germany,75,54.118179,9.705466,Hohenwestedt,background
1864,DEBW104,Germany,200,48.068024,7.810489,Holzhausen BAB,traffic
1865,DENW063,Germany,430,51.830952,8.950597,Horn-Bad Meinberg (Egge),background
1866,DESH020,Germany,0,53.936802,9.374903,Hove,background
1867,DESN050,Germany,117,51.43689,14.254336,Hoyerswerda,background
1868,DESN070,Germany,120,51.435448,14.244439,Hoyerswerda Lessingstr.,background
1869,DETH061,Germany,357,50.791618,11.661233,Hummelshain,background
1870,DEUB045,Germany,480,49.761932,7.054247,Hunsrück-Deuselbach,background
1871,DERP014,Germany,650,49.741035,7.193486,Hunsrück-Leisel,background
1872,DEBY102,Germany,145,50.003315,9.202339,"Hösbach, B26",traffic
1873,DENW058,Germany,90,50.876122,6.873789,Hürth,industrial
1874,DENW223,Germany,64,50.879921,6.890091,Hürth Luxemburger Straße,traffic
1875,DENW267,Germany,65,50.879852,6.889933,Hürth Luxemburger Straße 344,traffic
1876,DEBW078,Germany,474,48.896221,10.118684,Hüttlingen,background
1877,DEHB010,Germany,8,53.140853,8.705903,IGWEST,industrial
1878,DERP048,Germany,660,49.743809,7.19701,Idar-Oberstein,background
1879,DETH024,Germany,480,50.684998,10.916992,Ilmenau,background
1880,DENI024,Germany,74,52.266987,10.209194,Ilsede/Ölsburg,industrial
1881,DEBW133,Germany,228,49.055229,9.244059,Ilsfeld König-Wilhelm-Straße (S),traffic
1882,DENW257,Germany,110,50.851219,6.352322,Inden-Lamersdorf,industrial
1883,DENW300,Germany,94,50.877278,6.397575,Inden-Schophoven,industrial
1884,DEBW148,Germany,210,48.960697,9.1841,Ingersheim Tiefengasse (S),traffic
1885,DEBY022,Germany,450,48.727795,11.577191,Ingolstadt/Ernsgaden,industrial
1886,DEBY023,Germany,450,48.780815,11.372636,Ingolstadt/Friedrichshofen,industrial
1887,DEBY024,Germany,372,48.787811,11.445275,Ingolstadt/Oberhaunstadt,industrial
1888,DEBY021,Germany,374,48.769192,11.428767,Ingolstadt/Rechbergstraße,traffic
1889,DENW284,Germany,242,51.374191,7.697778,Iserlohn Hohler Weg 27,traffic
1890,DENW295,Germany,252,51.373164,7.702078,Iserlohn Hohler Weg 31,traffic
1891,DEBW094,Germany,700,47.693474,10.034748,Isny,background
1892,DESH015,Germany,40,53.924713,9.532636,Itzehoe,background
1893,DESH025,Germany,11,53.928032,9.511769,Itzehoe Lindenstr.,traffic
1894,DENW329,Germany,112,51.033834,6.451483,Jackerath,industrial
1895,DENI031,Germany,2,53.59617,8.09059,Jadebusen,background
1896,DETH082,Germany,145,50.936371,11.58978,Jena Camburger Str.,traffic
1897,DETH041,Germany,140,50.933514,11.597061,Jena Dammstr.,background
1898,DETH074,Germany,211,50.880944,11.612908,Jena Emil-Wölk-Str.,traffic
1899,DETH004,Germany,160,50.930195,11.58403,Jena Fürstengraben,traffic
1900,DETH003,Germany,150,50.927158,11.589322,Jena Löbdergraben,background
1901,DETH052,Germany,148,50.884216,11.597089,Jena Prüssingstr.,background
1902,DETH037,Germany,155,50.925114,11.582711,Jena Schillergäßchen,background
1903,DETH075,Germany,176,50.924812,11.579086,Jena Westbahnhofstr.,traffic
1904,DENW217,Germany,74,51.097797,6.510628,Jüchen,industrial
1905,DEBB061,Germany,75,51.990475,13.085958,Jüterbog Große Straße,traffic
1906,DEBY027,Germany,107,50.068741,9.006667,Kahl a. Main/Wasserturm,industrial
1907,DERP033,Germany,230,49.445164,7.763805,Kaiserslautern-Eisenbahnstr.,traffic
1908,DERP035,Germany,230,49.441727,7.761272,Kaiserslautern-Marienplatz,traffic
1909,DERP019,Germany,232,49.446,7.7673,Kaiserslautern-Rathausplatz,background
1910,DEBY134,Germany,488,48.7712,10.7872,Kaisheim,background
